date,price,per_chg_from_day_prior
2001-01-10,132.125,0.01756919374247894
2001-01-11,132.25,9.46073793755913e-4
2001-01-12,132,-0.001890359168241966
2001-01-16,132.84375,0.006392045454545455
2001-01-17,133.453125,0.0045871559633027525
2001-01-18,134.78125,0.009951996253366116
2001-01-19,134.015625,-0.005680500811500116
2001-01-22,134.90625,0.00664568030779993
2001-01-23,135.96875,0.007875839703497799
2001-01-24,136.375,0.0029878188922086877
2001-01-25,136.03125,-0.0025206232813932174
2001-01-26,135.875,-0.0011486331265793705
2001-01-29,136.60000610351563,0.0053358314886154555
2001-01-30,137.8000030517578,0.008784750326678819
2001-01-31,137.02000427246094,-0.005660368374621202
2001-02-01,137.92999267578125,0.006641281381883646
2001-02-02,134.8000030517578,-0.02269259617363138
2001-02-05,135.7899932861328,0.0073441410382971825
2001-02-06,135.38999938964844,-0.002945680214016354
2001-02-07,134.69000244140625,-0.005170226393366151
2001-02-08,133.1199951171875,-0.011656450336035483
2001-02-09,131.83999633789063,-0.0096153757981291485
2001-02-12,133.35000610351563,0.01145335108895953
2001-02-13,132.25999450683594,-0.00817406484281331
2001-02-14,132.05999755859375,-0.001512149981465866
2001-02-15,133.33999633789063,0.009692554921704824
2001-02-16,130.39999389648438,-0.022048916470314938
2001-02-20,128.38999938964844,-0.015414069025429054
2001-02-21,125.62000274658203,-0.02157486296623302
2001-02-22,125.80999755859375,0.0015124566777394714
2001-02-23,124.95999908447266,-0.006756207699036177
2001-02-26,127.62000274658203,0.021286841241981914
2001-02-27,126.44000244140625,-0.009246201847518645
2001-02-28,123.94999694824219,-0.019693178148410425
2001-03-01,124.5999984741211,0.005244062459721781
2001-03-02,123.61000061035156,-0.007945408313750098
2001-03-05,124.73999786376953,0.009141632941010912
2001-03-06,126.08000183105469,0.010742376064080066
2001-03-07,126.9800033569336,0.007138336871892617
2001-03-08,127.12000274658203,0.0011025309965924882
2001-03-09,123.36000061035156,-0.029578367330011457
2001-03-12,118.08000183105469,-0.04280154631300976
2001-03-13,120.0199966430664,0.016429495104407308
2001-03-14,117.6500015258789,-0.01974666875083949
2001-03-15,117.68000030517578,2.549832461351589e-4
2001-03-16,115.01000213623047,-0.02268863156034408
2001-03-19,117.3499984741211,0.020346024645046753
2001-03-20,114.19999694824219,-0.02684279136632088
2001-03-21,112.26000213623047,-0.016987695830595905
2001-03-22,111.12000274658203,-0.010154991697443745
2001-03-23,114.4800033569336,0.030237585738854867
2001-03-26,115.94000244140625,0.012753310985854631
2001-03-27,118.30999755859375,0.02044156518269221
2001-03-28,115.04000091552734,-0.02763922500671949
2001-03-29,115.4800033569336,0.0038247777981968126
2001-03-30,116.69000244140625,0.010477996616719063
2001-04-02,114.19999694824219,-0.021338636053370323
2001-04-03,110.38999938964844,-0.03336250140462368
2001-04-04,110.8499984741211,0.004167035845783251
2001-04-05,115.05000305175781,0.037889081059547754
2001-04-06,113.30000305175781,-0.015210777519168977
2001-04-09,114.55999755859375,0.011120869134137143
2001-04-10,116.6500015258789,0.018243750103225924
2001-04-11,116.7300033569336,6.858279469198208e-4
2001-04-12,118.8499984741211,0.018161527081473998
2001-04-16,117.5999984741211,-0.01051745911694042
2001-04-17,119.26000213623047,0.01411567758204243
2001-04-18,124,0.039745076126655114
2001-04-19,125.6500015258789,0.013306463918378275
2001-04-20,124.5,-0.009152419513835434
2001-04-23,122.23999786376953,-0.01815262760024473
